,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,98,0.903,0.888,0.982,0.973,0.987,0.349
1,fulloracle,2,10,3,0.500,0.333,0.833,0.800,0.878,5.594
2,fulloracle,2,01,48,0.958,0.938,0.971,0.967,0.956,2.038
3,fulloracle,2,11,39,0.641,0.590,0.792,0.733,0.874,7.450
4,fulloracle,2,aa,188,0.856,0.830,0.937,0.919,0.954,2.337
0,fulloracle,5,00,75,0.845,0.760,0.962,0.957,0.977,0.555
1,fulloracle,5,10,3,0.400,0.333,0.947,0.933,0.828,8.536
2,fulloracle,5,01,59,0.878,0.797,0.962,0.939,0.944,2.884
3,fulloracle,5,11,48,0.592,0.458,0.721,0.592,0.809,12.950
4,fulloracle,5,aa,185,0.783,0.686,0.899,0.856,0.921,4.643
0,fulloracle,10,00,35,0.717,0.686,0.915,0.880,0.945,1.864
1,fulloracle,10,10,3,0.400,0.333,0.680,0.600,0.779,13.343
2,fulloracle,10,01,69,0.804,0.725,0.940,0.907,0.929,3.808
3,fulloracle,10,11,63,0.544,0.365,0.725,0.587,0.781,16.226
4,fulloracle,10,aa,170,0.683,0.576,0.851,0.778,0.875,8.178
0,notracklap,2,00,98,0.888,0.857,0.958,0.947,0.971,1.920
1,notracklap,2,10,3,0.833,0.667,0.933,0.933,0.923,3.024
2,notracklap,2,01,48,0.594,0.458,0.798,0.729,0.841,15.456
3,notracklap,2,11,39,0.667,0.615,0.759,0.687,0.839,11.674
4,notracklap,2,aa,188,0.766,0.702,0.876,0.837,0.910,7.417
0,notracklap,5,00,75,0.821,0.800,0.931,0.912,0.955,2.955
1,notracklap,5,10,3,0.400,0.333,0.893,0.867,0.879,5.204
2,notracklap,5,01,59,0.478,0.203,0.749,0.597,0.786,22.942
3,notracklap,5,11,48,0.454,0.250,0.637,0.483,0.738,22.291
4,notracklap,5,aa,185,0.610,0.459,0.796,0.699,0.844,14.383
0,notracklap,10,00,35,0.711,0.686,0.887,0.846,0.914,4.880
1,notracklap,10,10,3,0.500,0.333,0.867,0.867,0.859,6.221
2,notracklap,10,01,69,0.430,0.174,0.712,0.551,0.757,26.293
