,Year,Model,ExpID,laptype,SignAcc,MAE,50-Risk,90-Risk
0,Indy500-2019,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.15196078431372548,4.338235294117647,0.29064039408866993,0.26410509031198687
1,Indy500-2019,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.49019607843137253,4.299019607843137,0.2880131362889984,0.28144499178981935
2,Indy500-2019,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.5,4.2254901960784315,0.2830870279146141,0.2547126436781609
3,Indy500-2019,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.44607843137254904,4.887254901960785,0.3274220032840722,0.31192118226600984
4,Indy500-2019,deepARW-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,all,0.7058823529411765,3.2205882352941178,0.2227440456222744,0.17930895672593086
5,Indy500-2019,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.1188118811881188,4.861386138613861,0.32154551407989523,0.31578258022265887
6,Indy500-2019,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.5445544554455446,4.445544554455446,0.29404060248853964,0.3144728225278323
7,Indy500-2019,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.5445544554455446,4.554455445544554,0.3012442698100851,0.2949574328749181
8,Indy500-2019,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.504950495049505,4.792079207920792,0.31696136214800263,0.3054354944335298
9,Indy500-2019,deepARW-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,normalpit,0.6534653465346535,3.4554455445544554,0.23248199083169613,0.18795022920759655
10,Indy500-2019,CurRank,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.18446601941747573,3.825242718446602,0.2595520421607378,0.21212121212121218
11,Indy500-2019,RandomForest,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.4368932038834951,4.155339805825243,0.28194993412384717,0.24822134387351777
12,Indy500-2019,SVM,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.4563106796116505,3.9029126213592233,0.2648221343873518,0.21422924901185775
13,Indy500-2019,XGBoost,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.3883495145631068,4.980582524271845,0.33794466403162055,0.3184453227931489
14,Indy500-2019,deepARW-Oracle,weighted-noinlap-S0LTYP0T-nocate-c60-drank-oracle,cautionpit,0.7572815533980582,2.9902912621359223,0.2125171939477304,0.17023383768913344
