command,type,sequence_number,preamble,rank,car_number,unique_id,completed_laps,elapsed_time,last_laptime,lap_status,best_laptime,best_lap,time_behind_leader,laps_behind_leader,time_behind_prec,laps_behind_prec,overall_rank,overall_best_laptime,current_status,track_status,pit_stop_count,last_pitted_lap,start_position,laps_led
$C,R,2097152,R.I,33,17,32,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,33,0.0,Active,U,0,0,33,0
$C,R,0,R.I,1,20,0,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,1,0.0,Active,U,0,0,1,0
$C,R,65536,R.I,2,22,1,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,2,0.0,Active,U,0,0,2,0
$C,R,131072,R.I,3,12,2,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,3,0.0,Active,U,0,0,3,0
$C,R,196608,R.I,4,1,3,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,4,0.0,Active,U,0,0,4,0
$C,R,262144,R.I,5,18,4,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,5,0.0,Active,U,0,0,5,0
$C,R,327680,R.I,6,21,5,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,6,0.0,Active,U,0,0,6,0
$C,R,393216,R.I,7,13,6,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,7,0.0,Active,U,0,0,7,0
$C,R,458752,R.I,8,3,7,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,8,0.0,Active,U,0,0,8,0
$C,R,524288,R.I,9,9,8,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,9,0.0,Active,U,0,0,9,0
$C,R,589824,R.I,10,14,9,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,10,0.0,Active,U,0,0,10,0
$C,R,655360,R.I,11,4,10,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,11,0.0,Active,U,0,0,11,0
$C,R,720896,R.I,12,98,11,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,12,0.0,Active,U,0,0,12,0
$C,R,786432,R.I,13,19,12,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,13,0.0,Active,U,0,0,13,0
$C,R,851968,R.I,14,28,13,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,14,0.0,Active,U,0,0,14,0
$C,R,917504,R.I,15,23,14,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,15,0.0,Active,U,0,0,15,0
$C,R,983040,R.I,16,30,15,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,16,0.0,Active,U,0,0,16,0
$C,R,1048576,R.I,17,32,16,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,17,0.0,Active,U,0,0,17,0
$C,R,1114112,R.I,18,6,17,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,18,0.0,Active,U,0,0,18,0
$C,R,1179648,R.I,19,33,18,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,19,0.0,Active,U,0,0,19,0
$C,R,1245184,R.I,20,59,19,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,20,0.0,Active,U,0,0,20,0
$C,R,1310720,R.I,21,29,20,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,21,0.0,Active,U,0,0,21,0
$C,R,1376256,R.I,22,88,21,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,22,0.0,Active,U,0,0,22,0
$C,R,1441792,R.I,23,25,22,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,23,0.0,Active,U,0,0,23,0
$C,R,1507328,R.I,24,24,23,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,24,0.0,Active,U,0,0,24,0
$C,R,1572864,R.I,25,26,24,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,25,0.0,Active,U,0,0,25,0
$C,R,1638400,R.I,26,64,25,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,26,0.0,Active,U,0,0,26,0
$C,R,1703936,R.I,27,66,26,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,27,0.0,Active,U,0,0,27,0
$C,R,1769472,R.I,28,7,27,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,28,0.0,Active,U,0,0,28,0
$C,R,1835008,R.I,29,10,28,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,29,0.0,Active,U,0,0,29,0
$C,R,1900544,R.I,30,15,29,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,30,0.0,Active,U,0,0,30,0
$C,R,1966080,R.I,31,60,30,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,31,0.0,Active,U,0,0,31,0
$C,R,2031616,R.I,32,27,31,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,32,0.0,Active,U,0,0,32,0
$C,R,2097152,R.I,33,17,32,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,33,0.0,Active,U,0,0,33,0
$C,R,0,R.I,1,20,0,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,1,0.0,Active,U,0,0,1,0
$C,R,65536,R.I,2,22,1,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,2,0.0,Active,U,0,0,2,0
$C,R,131072,R.I,3,12,2,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,3,0.0,Active,U,0,0,3,0
$C,R,196608,R.I,4,1,3,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,4,0.0,Active,U,0,0,4,0
$C,R,262144,R.I,5,18,4,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,5,0.0,Active,U,0,0,5,0
$C,R,327680,R.I,6,21,5,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,6,0.0,Active,U,0,0,6,0
$C,R,393216,R.I,7,13,6,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,7,0.0,Active,U,0,0,7,0
$C,R,458752,R.I,8,3,7,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,8,0.0,Active,U,0,0,8,0
$C,R,524288,R.I,9,9,8,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,9,0.0,Active,U,0,0,9,0
$C,R,589824,R.I,10,14,9,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,10,0.0,Active,U,0,0,10,0
$C,R,655360,R.I,11,4,10,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,11,0.0,Active,U,0,0,11,0
$C,R,720896,R.I,12,98,11,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,12,0.0,Active,U,0,0,12,0
$C,R,786432,R.I,13,19,12,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,13,0.0,Active,U,0,0,13,0
$C,R,851968,R.I,14,28,13,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,14,0.0,Active,U,0,0,14,0
$C,R,917504,R.I,15,23,14,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,15,0.0,Active,U,0,0,15,0
$C,R,983040,R.I,16,30,15,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,16,0.0,Active,U,0,0,16,0
$C,R,1048576,R.I,17,32,16,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,17,0.0,Active,U,0,0,17,0
$C,R,1114112,R.I,18,6,17,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,18,0.0,Active,U,0,0,18,0
$C,R,1179648,R.I,19,33,18,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,19,0.0,Active,U,0,0,19,0
$C,R,1245184,R.I,20,59,19,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,20,0.0,Active,U,0,0,20,0
$C,R,1310720,R.I,21,29,20,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,21,0.0,Active,U,0,0,21,0
$C,R,1376256,R.I,22,88,21,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,22,0.0,Active,U,0,0,22,0
$C,R,1441792,R.I,23,25,22,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,23,0.0,Active,U,0,0,23,0
$C,R,1507328,R.I,24,24,23,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,24,0.0,Active,U,0,0,24,0
$C,R,1572864,R.I,25,26,24,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,25,0.0,Active,U,0,0,25,0
$C,R,1638400,R.I,26,64,25,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,26,0.0,Active,U,0,0,26,0
$C,R,1703936,R.I,27,66,26,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,27,0.0,Active,U,0,0,27,0
$C,R,1769472,R.I,28,7,27,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,28,0.0,Active,U,0,0,28,0
$C,R,1835008,R.I,29,10,28,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,29,0.0,Active,U,0,0,29,0
$C,R,1900544,R.I,30,15,29,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,30,0.0,Active,U,0,0,30,0
$C,R,1966080,R.I,31,60,30,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,31,0.0,Active,U,0,0,31,0
$C,R,2031616,R.I,32,27,31,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,32,0.0,Active,U,0,0,32,0
$C,R,2097152,R.I,33,17,32,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,33,0.0,Active,U,0,0,33,0
$C,R,0,R.I,1,20,0,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,1,0.0,Active,U,0,0,1,0
$C,R,65536,R.I,2,22,1,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,2,0.0,Active,U,0,0,2,0
$C,R,131072,R.I,3,12,2,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,3,0.0,Active,U,0,0,3,0
$C,R,196608,R.I,4,1,3,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,4,0.0,Active,U,0,0,4,0
$C,R,262144,R.I,5,18,4,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,5,0.0,Active,U,0,0,5,0
$C,R,327680,R.I,6,21,5,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,6,0.0,Active,U,0,0,6,0
$C,R,393216,R.I,7,13,6,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,7,0.0,Active,U,0,0,7,0
$C,R,458752,R.I,8,3,7,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,8,0.0,Active,U,0,0,8,0
$C,R,524288,R.I,9,9,8,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,9,0.0,Active,U,0,0,9,0
$C,R,589824,R.I,10,14,9,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,10,0.0,Active,U,0,0,10,0
$C,R,655360,R.I,11,4,10,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,11,0.0,Active,U,0,0,11,0
$C,R,720896,R.I,12,98,11,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,12,0.0,Active,U,0,0,12,0
$C,R,786432,R.I,13,19,12,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,13,0.0,Active,U,0,0,13,0
$C,R,851968,R.I,14,28,13,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,14,0.0,Active,U,0,0,14,0
$C,R,917504,R.I,15,23,14,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,15,0.0,Active,U,0,0,15,0
$C,R,983040,R.I,16,30,15,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,16,0.0,Active,U,0,0,16,0
$C,R,1048576,R.I,17,32,16,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,17,0.0,Active,U,0,0,17,0
$C,R,1114112,R.I,18,6,17,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,18,0.0,Active,U,0,0,18,0
$C,R,1179648,R.I,19,33,18,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,19,0.0,Active,U,0,0,19,0
$C,R,1245184,R.I,20,59,19,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,20,0.0,Active,U,0,0,20,0
$C,R,1310720,R.I,21,29,20,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,21,0.0,Active,U,0,0,21,0
$C,R,1376256,R.I,22,88,21,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,22,0.0,Active,U,0,0,22,0
$C,R,1441792,R.I,23,25,22,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,23,0.0,Active,U,0,0,23,0
$C,R,1507328,R.I,24,24,23,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,24,0.0,Active,U,0,0,24,0
$C,R,1572864,R.I,25,26,24,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,25,0.0,Active,U,0,0,25,0
$C,R,1638400,R.I,26,64,25,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,26,0.0,Active,U,0,0,26,0
$C,R,1703936,R.I,27,66,26,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,27,0.0,Active,U,0,0,27,0
$C,R,1769472,R.I,28,7,27,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,28,0.0,Active,U,0,0,28,0
$C,R,1835008,R.I,29,10,28,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,29,0.0,Active,U,0,0,29,0
$C,R,1900544,R.I,30,15,29,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,30,0.0,Active,U,0,0,30,0
$C,R,1966080,R.I,31,60,30,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,31,0.0,Active,U,0,0,31,0
$C,R,2031616,R.I,32,27,31,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,32,0.0,Active,U,0,0,32,0
$C,R,2097152,R.I,33,17,32,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,33,0.0,Active,U,0,0,33,0
$C,R,0,R.I,1,20,0,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,1,0.0,Active,U,0,0,1,0
$C,R,65536,R.I,2,22,1,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,2,0.0,Active,U,0,0,2,0
$C,R,131072,R.I,3,12,2,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,3,0.0,Active,U,0,0,3,0
$C,R,196608,R.I,4,1,3,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,4,0.0,Active,U,0,0,4,0
$C,R,262144,R.I,5,18,4,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,5,0.0,Active,U,0,0,5,0
$C,R,327680,R.I,6,21,5,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,6,0.0,Active,U,0,0,6,0
$C,R,393216,R.I,7,13,6,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,7,0.0,Active,U,0,0,7,0
$C,R,458752,R.I,8,3,7,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,8,0.0,Active,U,0,0,8,0
$C,R,524288,R.I,9,9,8,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,9,0.0,Active,U,0,0,9,0
$C,R,589824,R.I,10,14,9,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,10,0.0,Active,U,0,0,10,0
$C,R,655360,R.I,11,4,10,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,11,0.0,Active,U,0,0,11,0
$C,R,720896,R.I,12,98,11,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,12,0.0,Active,U,0,0,12,0
$C,R,786432,R.I,13,19,12,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,13,0.0,Active,U,0,0,13,0
$C,R,851968,R.I,14,28,13,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,14,0.0,Active,U,0,0,14,0
$C,R,917504,R.I,15,23,14,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,15,0.0,Active,U,0,0,15,0
$C,R,983040,R.I,16,30,15,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,16,0.0,Active,U,0,0,16,0
$C,R,1048576,R.I,17,32,16,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,17,0.0,Active,U,0,0,17,0
$C,R,1114112,R.I,18,6,17,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,18,0.0,Active,U,0,0,18,0
$C,R,1179648,R.I,19,33,18,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,19,0.0,Active,U,0,0,19,0
$C,R,1245184,R.I,20,59,19,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,20,0.0,Active,U,0,0,20,0
