MyIdx,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
3,1,0,4,0.415,0.0,0.0
39,1,1,4,42.7829,0.0,42.3679
150,1,2,4,83.8813,0.0,41.0984
233,1,3,4,124.9756,0.0,41.094300000000004
313,1,4,4,166.0936,0.0,41.11800000000001
395,1,5,4,207.1653,0.0,41.07169999999999
476,1,6,4,248.3523,0.0,41.18700000000001
560,1,7,4,289.6172,0.0,41.26490000000001
645,1,8,4,330.9584,0.0,41.34119999999996
731,1,9,4,372.3228,0.0,41.36439999999999
817,1,10,4,413.5778,0.0,41.25500000000005
905,1,11,4,454.7624,0.0,41.18459999999999
993,1,12,4,496.1149,0.0,41.352499999999964
1078,1,13,4,537.4104,0.0,41.295500000000004
1167,1,14,4,578.7043,0.0,41.29390000000001
1256,1,15,4,619.9967,0.0,41.29240000000004
1346,1,16,4,661.3402,0.0,41.34349999999995
1437,1,17,4,702.7801,0.0,41.439899999999966
1525,1,18,4,744.2899,0.0,41.50980000000004
1614,1,19,4,785.5875,0.0,41.29759999999999
1704,1,20,4,827.0016,0.0,41.414100000000076
1794,1,21,4,868.2923,0.0,41.2906999999999
1883,1,22,4,909.6928,0.0,41.40050000000008
1975,1,23,4,951.0822,0.0,41.38939999999991
2065,1,24,4,992.5,0.0,41.41780000000006
2155,1,25,4,1033.9284,0.0,41.42840000000001
2244,1,26,4,1075.2189,0.0,41.290500000000065
2334,1,27,4,1116.5556,0.0,41.33669999999984
2426,1,28,4,1158.0764,0.0,41.52080000000001
2517,1,29,4,1199.8686,0.0,41.79220000000009
2579,1,30,2,1242.6444,-2.0,42.77579999999989
2673,1,31,1,1287.2535,-1.0,44.609100000000126
2827,1,32,3,1342.5738,2.0,55.32029999999986
3064,1,33,13,1409.5082,10.0,66.9344000000001
3187,1,34,5,1450.6142,-8.0,41.105999999999995
3349,1,35,3,1491.4108,-2.0,40.796600000000126
3484,1,36,3,1532.1863,0.0,40.775499999999965
3588,1,37,3,1573.0213,0.0,40.835000000000036
3675,1,38,3,1614.0946,0.0,41.07329999999979
3768,1,39,3,1655.4269,0.0,41.33230000000003
3858,1,40,3,1696.5770000000002,0.0,41.15010000000029
3950,1,41,3,1737.6609,0.0,41.08389999999986
4042,1,42,3,1778.9067,0.0,41.24579999999992
4135,1,43,3,1820.2268,0.0,41.32009999999991
4228,1,44,3,1861.5265,0.0,41.29970000000003
4319,1,45,3,1902.8678,0.0,41.34130000000005
4411,1,46,3,1944.2041,0.0,41.33629999999994
4501,1,47,3,1985.6364,0.0,41.43230000000017
4602,1,48,3,2044.6166,0.0,58.98019999999997
4702,1,49,3,2145.186,0.0,100.56940000000009
4796,1,50,3,2263.4804,0.0,118.29439999999977
4903,1,51,5,2383.5926,2.0,120.11220000000003
4996,1,52,5,2488.4494,0.0,104.85680000000002
5081,1,53,5,2598.3506,0.0,109.90120000000024
5177,1,54,5,2703.9225,0.0,105.57189999999991
5267,1,55,5,2777.1123,0.0,73.18979999999965
5333,1,56,4,2820.1652,-1.0,43.052900000000136
5416,1,57,3,2861.13,-1.0,40.964800000000196
5500,1,58,3,2905.6306,0.0,44.50059999999985
5594,1,59,3,3001.4004,0.0,95.76980000000003
5685,1,60,3,3106.7374,0.0,105.33699999999999
5784,1,61,3,3211.9579,0.0,105.2204999999999
5874,1,62,3,3306.9575,0.0,94.9996000000001
5927,1,63,3,3384.4238,0.0,77.46630000000005
6024,1,64,3,3426.28,0.0,41.85620000000017
6101,1,65,3,3467.2775,0.0,40.997499999999945
6177,1,66,3,3508.2054,0.0,40.92789999999968
6257,1,67,3,3549.4336,0.0,41.228200000000015
6336,1,68,3,3594.8476,0.0,45.414000000000215
6438,1,69,3,3690.0174,0.0,95.16980000000012
